constructorId,constructorRef,name,nationality,url
150,deidt,Deidt,American,http://en.wikipedia.org/wiki/Deidt
151,era,ERA,British,http://en.wikipedia.org/wiki/English_Racing_Automobiles
152,butterworth,Aston Butterworth,British,http://en.wikipedia.org/wiki/Aston_Butterworth
153,cisitalia,Cisitalia,Italian,http://en.wikipedia.org/wiki/Cisitalia
154,lago,Talbot-Lago,French,http://en.wikipedia.org/wiki/Talbot-Lago
155,hall,Hall,American,http://en.wikipedia.org/wiki/Hall_(constructor)
156,marchese,Marchese,American,http://en.wikipedia.org/wiki/Marchese_(constructor)
157,langley,Langley,American,http://en.wikipedia.org/wiki/Langley_(constructor)
158,rae,Rae,American,http://en.wikipedia.org/wiki/Rae_(motorsport)
159,olson,Olson,American,http://en.wikipedia.org/wiki/Olson_(constructor)
160,wetteroth,Wetteroth,American,http://en.wikipedia.org/wiki/Wetteroth
161,adams,Adams,American,http://en.wikipedia.org/wiki/Adams_(constructor)
162,snowberger,Snowberger,American,http://en.wikipedia.org/wiki/Snowberger
163,milano,Milano,Italian,http://en.wikipedia.org/wiki/Scuderia_Milano
164,hrt,HRT,Spanish,http://en.wikipedia.org/wiki/Hispania_Racing
167,cooper-maserati,Cooper-Maserati,British,http://en.wikipedia.org/wiki/Cooper_Car_Company
166,virgin,Virgin,British,http://en.wikipedia.org/wiki/Virgin_Racing
168,cooper-osca,Cooper-OSCA,British,http://en.wikipedia.org/wiki/Cooper_Car_Company
169,cooper-borgward,Cooper-Borgward,British,http://en.wikipedia.org/wiki/Cooper_Car_Company
170,cooper-climax,Cooper-Climax,British,http://en.wikipedia.org/wiki/Cooper_Car_Company
171,cooper-castellotti,Cooper-Castellotti,British,http://en.wikipedia.org/wiki/Cooper_Car_Company
172,lotus-climax,Lotus-Climax,British,http://en.wikipedia.org/wiki/Team_Lotus
173,lotus-maserati,Lotus-Maserati,British,http://en.wikipedia.org/wiki/Team_Lotus
174,de_tomaso-osca,De Tomaso-Osca,Italian,http://en.wikipedia.org/wiki/De_Tomaso
175,de_tomaso-alfa_romeo,De Tomaso-Alfa Romeo,Italian,http://en.wikipedia.org/wiki/De_Tomaso
176,lotus-brm,Lotus-BRM,British,http://en.wikipedia.org/wiki/Team_Lotus
177,lotus-borgward,Lotus-Borgward,British,http://en.wikipedia.org/wiki/Team_Lotus
178,cooper-alfa_romeo,Cooper-Alfa Romeo,British,http://en.wikipedia.org/wiki/Cooper_Car_Company
179,de_tomaso-ferrari,De Tomaso-Ferrari,Italian,http://en.wikipedia.org/wiki/De_Tomaso
180,lotus-ford,Lotus-Ford,British,http://en.wikipedia.org/wiki/Team_Lotus
181,brabham-brm,Brabham-BRM,British,http://en.wikipedia.org/wiki/Brabham
182,brabham-ford,Brabham-Ford,British,http://en.wikipedia.org/wiki/Brabham
183,brabham-climax,Brabham-Climax,British,http://en.wikipedia.org/wiki/Brabham
184,lds-climax,LDS-Climax,South African,http://en.wikipedia.org/wiki/LDS_(automobile)
185,lds-alfa_romeo,LDS-Alfa Romeo,South African,http://en.wikipedia.org/wiki/LDS_(automobile)
186,cooper-ford,Cooper-Ford,British,http://en.wikipedia.org/wiki/Cooper_Car_Company
187,mclaren-ford,McLaren-Ford,British,http://en.wikipedia.org/wiki/Team_McLaren
188,mclaren-seren,McLaren-Serenissima,British,http://en.wikipedia.org/wiki/Team_McLaren
189,eagle-climax,Eagle-Climax,American,http://en.wikipedia.org/wiki/Anglo_American_Racers
190,eagle-weslake,Eagle-Weslake,American,http://en.wikipedia.org/wiki/Anglo_American_Racers
191,brabham-repco,Brabham-Repco,British,http://en.wikipedia.org/wiki/Brabham
192,cooper-ferrari,Cooper-Ferrari,British,http://en.wikipedia.org/wiki/Cooper_Car_Company
