resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,fastestLapTime,statusId
197,1115,839,214,31,10,\N,R,17,0,10,\N,\N,8,1:29.388,31
198,1115,815,9,11,8,\N,R,18,0,10,\N,\N,9,1:28.584,31
199,1115,858,3,2,20,\N,R,19,0,2,\N,\N,2,2:03.562,31
200,1115,859,213,40,14,\N,R,20,0,0,\N,\N,\N,\N,31
201,1116,830,9,1,1,1,1,1,8,19,31:30.849,1890849,2,1:39.060,1
202,1116,1,131,44,3,2,2,2,7,19,+9.465,1900314,3,1:39.138,1
203,1116,844,6,16,2,3,3,3,6,19,+17.987,1908836,3,1:39.634,1
204,1116,846,1,4,4,4,4,4,5,19,+18.863,1909712,15,1:39.795,1
205,1116,815,9,11,7,5,5,5,4,19,+22.928,1913777,6,1:39.824,1
206,1116,832,6,55,6,6,6,6,3,19,+28.307,1919156,5,1:40.223,1
207,1116,842,214,10,9,7,7,7,2,19,+32.403,1923252,5,1:40.155,1
208,1116,847,131,63,11,8,8,8,1,19,+34.250,1925099,10,1:40.253,1
209,1116,848,3,23,8,9,9,9,0,19,+34.567,1925416,17,1:40.094,1
210,1116,857,1,81,5,10,10,10,0,19,+42.403,1933252,16,1:41.037,1
211,1116,839,214,31,13,11,11,11,0,19,+44.986,1935835,15,1:41.013,1
212,1116,817,213,3,10,12,12,12,0,19,+45.509,1936358,14,1:40.434,1
213,1116,4,117,14,12,13,13,13,0,19,+49.086,1939935,16,1:40.805,1
214,1116,852,213,22,19,14,14,14,0,19,+49.733,1940582,17,1:40.632,1
215,1116,807,210,27,16,15,15,15,0,19,+56.650,1947499,18,1:41.232,1
216,1116,822,51,77,18,16,16,16,0,19,+1:04.401,1955250,18,1:41.503,1
217,1116,855,51,24,15,17,17,17,0,19,+1:07.972,1958821,18,1:41.595,1
218,1116,825,210,20,17,18,18,18,0,19,+1:11.122,1961971,3,1:41.699,1
219,1116,858,3,2,20,19,19,19,0,19,+1:11.449,1962298,6,1:41.947,1
220,1116,840,117,18,14,\N,R,20,0,16,\N,\N,5,1:41.460,23
221,1118,830,9,1,2,1,1,1,8,24,30:07.209,1807209,3,1:14.540,1
222,1118,846,1,4,1,2,2,2,7,24,+4.287,1811496,3,1:14.647,1
223,1118,815,9,11,3,3,3,3,6,24,+13.617,1820826,2,1:15.008,1
224,1118,847,131,63,4,4,4,4,5,24,+25.879,1833088,2,1:14.422,1
225,1118,844,6,16,7,5,5,5,4,24,+28.560,1835769,3,1:15.411,1
226,1118,852,213,22,6,6,6,6,3,24,+29.210,1836419,2,1:15.532,1
227,1118,1,131,44,5,7,7,7,2,24,+34.726,1841935,2,1:15.276,1
228,1118,832,6,55,9,8,8,8,1,24,+35.106,1842315,3,1:15.362,1
229,1118,817,213,3,8,9,9,9,0,24,+35.303,1842512,2,1:15.460,1
230,1118,857,1,81,10,10,10,10,0,24,+38.219,1845428,2,1:15.463,1
231,1118,4,117,14,15,11,11,11,0,24,+39.061,1846270,4,1:15.477,1
232,1118,840,117,18,17,12,12,12,0,24,+39.478,1846687,3,1:15.467,1
233,1118,842,214,10,13,13,13,13,0,24,+40.621,1847830,3,1:15.209,1
234,1118,839,214,31,16,14,14,14,0,24,+42.848,1850057,3,1:15.536,1
235,1118,848,3,23,19,15,15,15,0,24,+43.394,1850603,3,1:15.598,1
236,1118,825,210,20,11,16,16,16,0,24,+56.507,1863716,3,1:15.464,1
237,1118,855,51,24,18,17,17,17,0,24,+58.723,1865932,3,1:15.837,1
238,1118,807,210,27,12,18,18,18,0,24,+1:00.330,1867539,3,1:15.472,1
239,1118,822,51,77,14,19,19,19,0,24,+1:00.749,1867958,3,1:15.738,1
240,1118,858,3,2,20,20,20,20,0,24,+1:00.945,1868154,4,1:15.496,1
241,1125,830,9,1,4,1,1,1,8,19,32:04.660,1924660,3,1:40.331,1
242,1125,1,131,44,2,2,2,2,7,19,+13.043,1937703,3,1:40.420,1
243,1125,815,9,11,6,3,3,3,6,19,+15.258,1939918,4,1:41.065,1
244,1125,844,6,16,7,4,4,4,5,19,+17.486,1942146,4,1:41.003,1
245,1125,832,6,55,5,5,5,5,4,19,+20.696,1945356,4,1:40.962,1
246,1125,846,1,4,1,6,6,6,3,19,+22.088,1946748,4,1:40.951,1
247,1125,857,1,81,8,7,7,7,2,19,+24.713,1949373,3,1:41.107,1
248,1125,847,131,63,11,8,8,8,1,19,+25.696,1950356,5,1:41.505,1
249,1125,855,15,24,10,9,9,9,0,19,+31.951,1956611,4,1:41.502,1
250,1125,825,210,20,12,10,10,10,0,19,+37.398,1962058,5,1:42.092,1
251,1125,817,215,3,14,11,11,11,0,19,+37.840,1962500,6,1:42.234,1
252,1125,822,15,77,9,12,12,12,0,19,+38.295,1962955,6,1:42.140,1
